wochentag_uhrzeit,Bus_1,Bus_2,Bus_3,Bus_4,Bus_5,Bus_6,Bus_7,Bus_8,Bus_9,Bus_10,Bus_11,Bus_12,Bus_13,Bus_14,Bus_15,Bus_16,Bus_17,Bus_18,Bus_19
Mi 21:00,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
Mi 21:15,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1
Mi 21:30,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Mi 21:45,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Mi 22:00,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Mi 22:15,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Mi 22:30,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Mi 22:45,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Mi 23:00,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Mi 23:15,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Mi 23:30,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Mi 23:45,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Do 00:00,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Do 00:15,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
